epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.513,2.33428,4.58673,1.12226,0.511,0.50133,0.44086,0.22472,1.67705,4.53437,0.93783,0.000270725,0.000270725,0.000270725
2,251.219,2.14678,2.72742,1.07556,0.52044,0.73199,0.48552,0.21439,1.8014,2.74409,0.97757,0.000521246,0.000521246,0.000521246
3,320.211,1.949,2.42845,1.0153,0.46354,0.61368,0.5019,0.22314,1.70859,2.71322,0.94838,0.000744279,0.000744279,0.000744279
4,388.688,1.85879,2.17307,1.01735,0.45325,0.78182,0.59173,0.27515,1.90107,2.29,0.9905,0.000709299,0.000709299,0.000709299
5,457.011,1.86111,1.98403,1.02391,0.43194,0.83445,0.67917,0.34662,1.73813,2.04993,0.9656,0.000668066,0.000668066,0.000668066
6,548.82,1.71643,1.82195,0.96909,0.65617,0.85053,0.82081,0.4605,1.60471,1.68228,0.94552,0.000626832,0.000626832,0.000626832
7,628.443,1.70412,1.6373,0.98605,0.81894,0.84403,0.85799,0.48028,1.57436,1.5991,0.9405,0.000585599,0.000585599,0.000585599
8,696.173,1.66427,1.51464,0.98964,0.82644,0.73302,0.89788,0.469,1.6768,1.41932,0.94561,0.000544365,0.000544365,0.000544365
9,763.861,1.6696,1.4193,0.94688,0.74673,0.87136,0.87958,0.45835,1.6777,1.29878,0.94781,0.000503132,0.000503132,0.000503132
10,846.179,1.62917,1.35622,0.96249,0.90595,0.88092,0.92186,0.51984,1.53502,1.13193,0.92841,0.000461898,0.000461898,0.000461898
11,982.829,1.6118,1.33643,0.9813,0.84722,0.92265,0.94125,0.53073,1.50597,1.10896,0.92166,0.000420665,0.000420665,0.000420665
12,1084.66,1.55026,1.21973,0.95615,0.82515,0.83841,0.924,0.47064,1.64397,1.16313,0.94359,0.000379431,0.000379431,0.000379431
13,1150.25,1.5644,1.16372,0.96269,0.87123,0.87725,0.95619,0.48528,1.67328,1.08928,0.95075,0.000338198,0.000338198,0.000338198
14,1217.65,1.55192,1.12263,0.96139,0.95284,0.94858,0.98005,0.52606,1.61523,0.96136,0.9401,0.000296964,0.000296964,0.000296964
15,1287.45,1.47332,1.03322,0.94153,0.97919,0.96313,0.98672,0.54675,1.54025,0.90341,0.92736,0.000255731,0.000255731,0.000255731
16,1355.44,1.50677,0.99787,0.95148,0.98267,0.97547,0.99029,0.54974,1.5487,0.88888,0.9254,0.000214497,0.000214497,0.000214497
17,1425.39,1.51175,0.98518,0.93957,0.9876,0.97257,0.99082,0.5521,1.55134,0.89229,0.9249,0.000173264,0.000173264,0.000173264
18,1493.07,1.50989,0.96793,0.93233,0.98178,0.97803,0.99105,0.55353,1.55329,0.87626,0.92502,0.000132031,0.000132031,0.000132031
19,1561.04,1.44729,0.92012,0.92329,0.98449,0.97699,0.99059,0.556,1.53155,0.86576,0.92044,9.0797e-05,9.0797e-05,9.0797e-05
20,1663.09,1.43793,0.89643,0.93375,0.98912,0.97959,0.99042,0.56832,1.50157,0.83849,0.91568,4.95635e-05,4.95635e-05,4.95635e-05
